number,Title,Description,category,priority,resolver_team,Where I got the ticket from,hardness
90,How do I create a permanent Bash alias?,"I would like to create an alias to
rm
command in order to have a confirmation message after executing this command. So I am creating an alias like this
alias rm='rm -i'
. But as far as I know this is a temporary alias and it lives until you close the terminal.
As it is explained
here
to save alias permanently I need to execute
~/.bash_aliases
or
~/.bashrc
commands in terminal and add my alias there. But when I execute
~/.bashrc
I get following error message :
bash: /home/bakhtiyor/.bashrc: Permission denied
When I run
~/.bash_aliases
I get another error message like this:
bash: /home/bakhtiyor/.bash_aliases: File or directory doesn't exist.
What is the actual problem and how can I solve it?",general usage,,general support,askubuntu,
91,Execute sudo without Password?,"Inspired by this
question
....
I am the sole person using my system with 12.04.
Every time I issue a
sudo
command; the system asks for the user password (which is good in its own way).
However I was thinking; without activating the
root
account; how can I execute the sudo commands which will not ask for user password to authenticate.
NOTE: I want to execute sudo command without authenticating via password; only when they are executed via terminal.
I don't want to remove this extra layer of security from other functions such a while using 'Ubuntu software center' or executing a bash script by drag-drop something.sh file to the terminal.",user accounts,,system support,askubuntu,
92,How to know what program is listening on a given port?,"I suspect a program is listening on port
8000
on my machine.
When I run the following command, I get this error:
> python -m SimpleHTTPServer
# Lots of python error
socket.error: [Errno 98] Address already in use
If I use another port (
8000
is the default), the web server runs fine.
If I run
wget localhost:8000
from the command line, it returns
404 Not Found
.
What can I do (or what tools are available) to find what program is listening on port
8000
, and from there where that program is configured?",networking,,network support,askubuntu,
93,"Unity doesn't load, no Launcher, no Dash appears","When I login, nothing happens.
I am presented with my desktop wallpaper.
No Dash, no Launcher, nothing.",general usage,,general support,askubuntu,
94,What are PPAs and how do I use them?,"I keep reading about
Personal Package Archives
('PPAs') and people answer questions with a link to a PPA. What's the best way to use these?
There are multiple valid answers for this question spanning over several versions of Ubuntu. For your convenience, an index of each is below.
Ubuntu 11.04 and newer
Ubuntu 10.10
Ubuntu 10.04
Command Line
What is a PPA?
Removing a PPA",package management,,system support,askubuntu,
95,How to list all variables names and their current values?,"How to list all variables names and their current values?
Including not only
$HOME
,
$PWD
etc but any other you have defined.",general usage,,general support,askubuntu,
96,How to really clear the terminal?,"I can issue the
clear
command or press
Ctrl
+
L
to clear the current Ubuntu terminal, but this just shifts previous output upwards and if you use mouse scroll or
PgUP
and
PgDown
keys it's hard to distinguish where the output of previous command ends and output of current command begins.
Is there a way to
really
clear the terminal so I won't see previous command results?",general usage,,general support,askubuntu,
97,"What is ""dist-upgrade"" and why does it upgrade more than ""upgrade""?","I was wondering why
upgrade
sometimes doesn't want to upgrade certain parts of the system, while
dist-upgrade
does. Here's an example after running
apt-get upgrade
:
apt-get upgrade
:
rimmer@rimmer-Lenovo-IdeaPad-S10-2:~$ sudo apt-get upgrade
Reading package lists... Done
Building dependency tree       
Reading state information... Done
The following packages have been kept back:
  linux-generic linux-headers-generic linux-image-generic
0 upgraded, 0 newly installed, 0 to remove and 3 not upgraded.
versus
apt-get dist-upgrade
:
rimmer@rimmer-Lenovo-IdeaPad-S10-2:~$ sudo apt-get dist-upgrade
Reading package lists... Done
Building dependency tree       
Reading state information... Done
Calculating upgrade... Done
The following NEW packages will be installed:
  linux-headers-3.0.0-13 linux-headers-3.0.0-13-generic
  linux-image-3.0.0-13-generic
The following packages will be upgraded:
  linux-generic linux-headers-generic linux-image-generic
3 upgraded, 3 newly installed, 0 to remove and 0 not upgraded.
Need to get 48.5 MB of archives.
After this operation, 215 MB of additional disk space will be used.
Do you want to continue [Y/n]?
In other words, why can't this be performed by
upgrade
?",package management,,system support,askubuntu,
98,How to install specific version of some package?,"My questions are divided into two parts:
How to know the version of installed package?
How to install a specific package version?",package management,,system support,askubuntu,
99,How can I create a Windows bootable USB stick using Ubuntu?,"I'd like to create a Windows bootable USB stick, but I don't have a Windows machine at the moment to do so. How can I achieve that using Ubuntu?",hardware,,hardware support,askubuntu,
100,"My computer boots to a black screen, what options do I have to fix it?","I am trying to boot Ubuntu on my computer.  When I boot Ubuntu, it boots to a black screen.  How can I fix this?
Table of Contents:
If you are trying to install Ubuntu
If you have a dual boot system
If an update or something else caused your problem",installation,,installation support,askubuntu,
101,How do I run .sh scripts?,"Whenever I open a .sh file, it opens it in gedit instead of the terminal. I can't find any option similar to
Right Click
→
Open With
→
Other Application...
→
Terminal
.
How do I open this file in the terminal?",general usage,,general support,askubuntu,
102,How can I tell Ubuntu to do nothing when I close my laptop lid?,I would like closing the laptop lid to be a no-op. How can I do that?,hardware,,hardware support,askubuntu,
103,What are Unity's keyboard and mouse shortcuts?,"In Unity, are there any pre-defined shortcuts, e.g. to open the dash or unhide the launcher?",general usage,,general support,askubuntu,
104,"Apache error ""Could not reliably determine the server's fully qualified domain name""","When I restart my Apache server using the command
sudo /etc/init.d/apache2 restart
I get the following error:
Restarting web server apache2
apache2: Could not reliably determine the server's fully qualified domain name, using 127.0.1.1 for ServerName
... waiting apache2:
Could not reliably determine the server's fully qualified domain name, using 127.0.1.1 for ServerName
Is the server using 127.0.1.1 instead of 127.0.0.1? What causes this error?",installation,,installation support,askubuntu,
